tip.label,FSA,acidPhosphatase_count,alphaGlucosidase15_count,alphaGlucosidase31_count,alphaManNAase76_count,aminoAcidPermease_count,ammoniumTransporter_count,amylase88_count,auxinResponsivePromoter_count,betaGlucanSynthase_count,betaGlucosidase1_count,betaXylosidase43_count,cellobiohydrolase6_count,cellobiohydrolase7_count,chitinase_count,chitosanase8_count,coldShockProtein_count,crystalineCellulaseAA9_count,endoglucanase12_count,endoglucanase9_count,fungalLigninPeroxidase_count,glucosidase81_count,glycopeptidase85_count,glycoproteinSynthesis92_count,heatShockProtein_count,invertase32_count,melanin_count,nitrateTransporter_count,phosphateTransporter_count,RNAHelicase_count,RNApolymerase_count,trehalase_count,extension_rate,fruiting_body_size,spore_length,spore_size,spore_width,Cohens_d_Glucose,Cohens_d_Lignin,Cohens_d_Tannin,Cohens_d_Xylan,melanin_content,sporocarp_chitin,sporocarp_N,sporocarp_protein,sporocarp_resp,tissue_c,tissue_n,tissue_p
Sclerotinia_sclerotiorum,1,11,4,6,11,4,3,1,0,1,4,5,0,3,12,0,0,9,5,2,0,1,0,5,2,1,4,1,1,19,24,1,NA,NA,NA,NA,NA,-0.223606798,-0.596284794,-0.082065224,-0.447213596,NA,NA,NA,NA,NA,NA,NA,NA
Aureobasidium_pullulans,1,11,3,9,9,3,3,3,0,1,7,28,1,1,7,0,0,6,3,2,3,1,1,1,3,5,4,1,3,21,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fusarium_solani,0,11,0,9,8,2,4,8,0,2,7,26,1,3,23,0,0,9,6,0,1,1,0,0,4,6,7,1,4,0,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bipolaris_maydis,0,12,2,9,8,1,4,5,0,1,5,15,2,6,15,0,0,23,3,0,5,3,1,5,3,3,12,1,3,18,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyricularia_grisea,1,16,2,6,7,1,3,3,0,1,5,16,3,6,13,0,0,19,3,0,2,2,0,6,3,4,16,1,3,17,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fusarium_oxysporum,1,19,3,8,11,1,4,5,0,1,7,26,1,3,28,0,0,16,4,1,1,1,0,0,17,14,11,1,4,17,23,2,11.2,NA,NA,NA,NA,-0.894427191,0,-0.894427191,-0.894427191,NA,NA,NA,NA,NA,44,1.566666667,0.306666667
Umbelopsis_ramanniana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fusarium_culmorum,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,6.3,1.89
Rhizopus_stolonifer,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma_harzianum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.866666667
Microdochium_bolleyi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894427191,NA,0.894427191,NA,NA,NA,NA,NA,NA,NA,NA
Rhizophlyctis_rosea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberlindnera_jadinii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.64
Paraglomus_occultum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,378300.1154,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puccinia_striiformis,1,8,3,5,4,1,1,2,0,1,1,1,0,8,17,0,1,0,2,0,0,1,1,0,5,2,4,0,0,15,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylaria_acuta,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylaria_hypoxylon,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scheffersomyces_stipitis,0,3,0,3,5,8,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Debaryomyces_hansenii,0,4,1,3,4,9,3,6,0,2,1,0,0,0,5,0,0,0,0,0,0,2,0,1,0,1,0,0,1,19,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yarrowia_lipolytica,0,4,1,1,6,8,5,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,1,0,0,1,19,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.308,5.448,0.728
Saccharomyces_cerevisiae,0,6,1,1,2,17,3,0,0,3,2,0,1,0,2,0,0,0,0,1,0,2,0,0,2,1,0,0,1,21,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.50909091,8.435757576,1.751818182
Schizosaccharomyces_pombe,0,5,2,4,4,1,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,19,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptococcus_neoformans,1,6,2,3,0,2,2,2,0,1,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,1,0,0,1,18,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kluyveromyces_lactis,0,7,1,1,2,9,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,1,0,0,1,19,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kluyveromyces_marxianus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.13,7.923333333,1.35
