"","speciesMatched","Phylum","FDA","ascus_dehiscence","auxinResponsivePromoter_count","growth_form_fg","spore_length","spore_width","trophic_mode_fg"
"110","Pleurotus ostreatus","Basidiomycota","No",NA,0,"Agaricoid",NA,NA,"Pathotroph-Saprotroph"
"111","Pseudozyma hubeiensis","Basidiomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"112","Puccinia graminis","Basidiomycota","Yes",NA,NA,"Rust",NA,NA,"Pathotroph"
"113","Puccinia graminis","Basidiomycota","Yes",NA,0,"Rust",NA,NA,"Pathotroph"
"114","Puccinia striiformis","Basidiomycota","No",NA,NA,"Rust",NA,NA,"Pathotroph"
"115","Puccinia striiformis","Basidiomycota","No",NA,0,"Rust",NA,NA,"Pathotroph"
"116","Pyrenophora teres","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph"
"117","Pyronema omphalodes","Ascomycota","No",NA,0,NA,NA,NA,NA
"118","Rhizophagus clarus","Mucoromycota","Yes",NA,NA,NA,222,222,NA
"119","Rhizopus microsporus","Mucoromycota","No",NA,0,"NULL",NA,NA,"Pathotroph"
"120","Rhizopus stolonifer","Mucoromycota","No",NA,NA,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"121","Rhodotorula toruloides","Basidiomycota","No",NA,0,NA,NA,NA,NA
"122","Rozella allomycis","Cryptomycota","No",NA,0,"NULL",NA,NA,"Symbiotroph"
"123","Saccharomyces cerevisiae","Ascomycota","No",NA,NA,"Yeast",NA,NA,"Saprotroph"
"124","Saccharomyces cerevisiae","Ascomycota","No","Deliquescent",NA,"Yeast",NA,NA,"Saprotroph"
"125","Saccharomyces cerevisiae","Ascomycota","No",NA,0,"Yeast",NA,NA,"Saprotroph"
"126","Schizophyllum commune","Basidiomycota","Yes",NA,NA,"Agaricoid",NA,NA,"Pathotroph-Saprotroph"
"127","Scleroderma citrinum","Basidiomycota","Yes",NA,24.9999999999999,NA,NA,NA,NA
"128","Sclerotinia sclerotiorum","Ascomycota","Yes","Poricidal",NA,"NULL",NA,NA,"Pathotroph"
"129","Sclerotinia sclerotiorum","Ascomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"130","Sclerotinia sclerotiorum","Ascomycota","Yes",NA,NA,"NULL",NA,NA,"Pathotroph"
"131","Serendipita indica","Basidiomycota","No",NA,0,NA,NA,NA,NA
"132","Serendipita vermifera","Basidiomycota","Yes",NA,0,NA,NA,NA,NA
"133","Sphaerobolus stellatus","Basidiomycota","Yes",NA,2,NA,NA,NA,NA
"134","Sphaerulina musiva","Ascomycota","Yes",NA,0,NA,NA,NA,NA
"135","Suillus luteus","Basidiomycota","No",NA,1,NA,NA,NA,NA
"136","Talaromyces pinophilus","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph"
"137","Thanatephorus cucumeris","Basidiomycota","Yes",NA,NA,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"138","Thanatephorus cucumeris","Basidiomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph-Symbiotroph"
"139","Tilletiaria anomala","Basidiomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"140","Tolypocladium capitatum","Ascomycota","No","Poricidal",NA,NA,NA,NA,NA
"141","Tolypocladium ophioglossoides","Ascomycota","No","Poricidal",NA,"Cordyceptoid",NA,NA,"Pathotroph"
"142","Trematosphaeria pertusa","Ascomycota","No","Fissitunicate",NA,NA,NA,NA,NA
"143","Tremella mesenterica","Basidiomycota","No",NA,0,"Facultative Yeast",NA,NA,"Pathotroph"
"144","Trichoderma asperellum","Ascomycota","No",NA,NA,"NULL",NA,NA,"Symbiotroph"
"145","Trichoderma harzianum","Ascomycota","No",NA,NA,"NULL",NA,NA,"Pathotroph"
"146","Trichophyton rubrum","Ascomycota","No",NA,0,"NULL",NA,NA,"Pathotroph"
"147","Trichophyton verrucosum","Ascomycota","Yes",NA,0,"NULL",NA,NA,"Pathotroph"
"148","Tuber melanosporum","Ascomycota","Yes",NA,0,NA,NA,NA,NA
"149","Tulasnella calospora","Basidiomycota","Yes",NA,0,"NULL",NA,NA,"Symbiotroph"
"150","Uncinocarpus reesii","Ascomycota","Yes",NA,0,NA,NA,NA,NA
"151","Ustilago maydis",NA,"Yes",NA,NA,"Facultative Yeast",NA,NA,"Pathotroph"
"152","Ustilago maydis",NA,"Yes",NA,0,"Facultative Yeast",NA,NA,"Pathotroph"
"153","Verticillium alfalfae",NA,"No",NA,0,NA,NA,NA,NA
"154","Verticillium dahliae",NA,"No",NA,0,"NULL",NA,NA,"Pathotroph"
"155","Wallemia ichthyophaga",NA,"No",NA,0,NA,NA,NA,NA
"156","Wolfiporia cocos",NA,"Yes",NA,0,NA,NA,NA,NA
"157","Xylaria hypoxylon",NA,"No","Poricidal",NA,"Xylarioid",NA,NA,"Pathotroph-Saprotroph"
"158","Yarrowia lipolytica",NA,"No",NA,NA,"Yeast",NA,NA,"Saprotroph"
"159","Yarrowia lipolytica",NA,"No","Deliquescent",NA,"Yeast",NA,NA,"Saprotroph"
"160","Yarrowia lipolytica",NA,"No",NA,0,"Yeast",NA,NA,"Saprotroph"
"161","Zygosaccharomyces rouxii",NA,"No",NA,0,"Facultative Yeast",NA,NA,"Saprotroph"
