"","Organism","n_prot"
"15096","Geastrum sp. KH-NZ06-006",1
"15097","Geastrum sp. KH-NZ06-052",1
"15098","Geastrum sp. KH-NZ06-135",1
"15099","Geastrum sp. MA-Fungi 31143",2
"15100","Geastrum sp. MA-Fungi 37546",2
"15101","Geastrum sp. MA-Fungi 83788",1
"15102","Geastrum sp. MA-Fungi 83789",2
"15103","Geastrum sp. MA-Fungi 83790",2
"15104","Geastrum sp. MA-Fungi 83791",1
"15105","Geastrum sp. MA-Fungi 83792",2
"15106","Geastrum sp. MA-Fungi 83794",2
"15107","Geastrum sp. MCA1723",1
"15108","Geastrum sp. T26588",1
"15109","Geastrum sp. TNS KH-AUS09-72",1
"15110","Geastrum sp. TNS KH-AUS09-74",1
"15111","Geastrum sp. TNS KH-AUS10-33",1
"15112","Geastrum sp. TNS KH-AUS10-73",1
"15113","Geastrum sp. TNS KH-AUS10-80",1
"15114","Geastrum sp. TNS KH-JPN09-202",1
"15115","Geastrum sp. TNS KH-JPN09-203",1
"15116","Geastrum sp. TNS KH-JPN09-223",1
"15117","Geastrum sp. TNS KH-JPN09-268",1
"15118","Geastrum sp. TNS KH-JPN10-626",1
"15119","Geastrum sp. TNS KH-JPN10-633",1
"15120","Geastrum sp. TNS KH-JPN10-693",1
"15121","Geastrum sp. TNS KH-JPN10-710",1
"15122","Geastrum sp. TNS KH-JPN10-712",1
"15123","Geastrum sp. TNS KH-JPN10-716",1
"15124","Geastrum sp. TNS KH-JPN10-731",1
"15125","Geastrum sp. TNS KH-JPN10-747",1
"15126","Geastrum sp. TNS KH-JPN10-748",1
"15127","Geastrum sp. TNS KH-NZ09-91",1
"15128","Geastrum sp. TNS KH-TH09-108",1
"15129","Geastrum sp. TNS KH-TH09-87",1
"15130","Geastrum sp. TNS KH-TH09-88",1
"15131","Geastrum sp. TNS Sakamoto151",1
"15132","Geastrum sp. TNS Sakamoto154",1
"15133","Geastrum sp. TNS Sakamoto186",1
"15134","Geastrum sp. TNS Sakamoto207",1
"15135","Geastrum sp. TNS Sakamoto82",1
"15136","Geastrum sp. Trappe 26298",1
"15137","Geastrum striatum",4
"15138","Geastrum subiculosum",1
"15139","Geastrum tenuipes",3
"15140","Geastrum thanatophilum",2
"15141","Geastrum triplex",31
"15142","Geastrum velutinum",7
"15143","Geastrum verrucoramulosum",2
"15144","Geastrum violaceum",3
"15145","Geastrum wrightii",2
"15146","Geastrum xerophilum",1
"15147","Geastrumia polystigmatis",1
"15148","Geesterania carneola",2
"15149","Geesterania davidii",3
"15150","Geisha distinctissima yeast-like symbiont",1
"15151","Geisleria sychnogonoides",2
"15152","Gelasinospora brevispora",9
"15153","Gelasinospora cratophora",1
"15154","Gelasinospora saitoi",7
"15155","Gelasinospora sp. (strain G114)",2
"15156","Gelasinospora sp. (strain S23)",1
"15157","Gelasinospora sp. FGSC",4
"15158","Gelatinomyces siamensis",3
"15159","Gelidatrema spencermartinsiae",3
"15160","Gelopellis purpurascens",1
"15161","Gelopellis sp. H4397",1
"15162","Gelopellis sp. H4571",1
"15163","Gelopellis sp. MEL2063389",1
"15164","Geminibasidium donsium",4
"15165","Geminibasidium hirsutum",2
"15166","Gemmamyces piceae",3
"15167","Genea aff. harknessii src865",1
"15168","Genea arenaria",2
"15169","Genea brunneocarpa",1
"15170","Genea cf. brachytheca FLAS-F-58933",1
"15171","Genea dentata",2
"15172","Genea fageticola",1
"15173","Genea fragrans",2
"15174","Genea gardneri",2
"15175","Genea gorii",1
"15176","Genea harknessii",1
"15177","Genea hispidula",1
"15178","Genea lespiaultii",1
"15179","Genea lobulata",1
"15180","Genea oxygala",2
"15181","Genea pinicola",1
"15182","Genea pseudobalsleyi",1
"15183","Genea pseudoverrucosa",1
"15184","Genea sp. (in: ascomycete fungi)",3
"15185","Genea sphaerica",2
"15186","Genea thaxteri",2
"15187","Genea tuberculata",1
"15188","Genea vagans",1
"15189","Genea verrucosa",1
"15190","Geniculifera paucispora",1
"15191","Genistelloides hibernus",5
"15192","Genolevuria amylolytica",1
"15193","Genolevuria armeniaca",3
"15194","Genolevuria bromeliarum",3
"15195","Genolevuria tibetensis",1
"15196","Geodina guanacastensis",2
"15197","Geoglossum barlae",1
"15198","Geoglossum cookeanum",1
"15199","Geoglossum difforme",4
"15200","Geoglossum fallax",1
"15201","Geoglossum glabrum",1
"15202","Geoglossum nigritum",1
"15203","Geoglossum simile",3
"15204","Geoglossum sphagnophilum",1
"15205","Geoglossum umbratile",2
"15206","Geomorium australianum",2
"15207","Geomorium beatonii",2
"15208","Geomorium fuegianum",1
"15209","Geomorium furciae",1
"15210","Geomorium gamundiae",3
"15211","Geomorium geodon",2
"15212","Geomorium singeri",2
"15213","Geomyces asperulatus",2
"15214","Geomyces auratus",3
"15215","Geomyces sp",3
"15216","Geomyces sp. 23WI05",3
"15217","Geomyces sp. APA-2013",7
"15218","Geomyces sp. HDN13-432",1
"15219","Geomyces sp. NG_p41",1
"15220","Geomyces vinaceus",1
"15221","Geopora cf. cervina KH.03.61",3
"15222","Geopora cooperi",3
"15223","Geopora sp. A KH.01.29",3
"15224","Geopora sp. B KH.03.109",3
"15225","Geopora sp. C KH.08.52",3
"15226","Geopyxis aleurioides",1
"15227","Geopyxis alpina",4
"15228","Geopyxis carbonaria",1
"15229","Geopyxis deceptiva",6
"15230","Geopyxis delectans",4
"15231","Geopyxis korfii",3
"15232","Geopyxis majalis",1
"15233","Geopyxis rehmii",3
"15234","Geopyxis sp. KH.04.48",4
"15235","Geopyxis vulcanalis",3
"15236","Georgefischeria riveae",2
"15237","Geosiphon pyriformis",10
"15238","Geosmithia brunnea",3
"15239","Geosmithia cf. pallida 1-NL-2014",1
"15240","Geosmithia cf. pallida 2-NL-2014",2
"15241","Geosmithia cf. pallida 3-NL-2014",1
"15242","Geosmithia cf. pallida 4-NL-2014",1
"15243","Geosmithia cf. pallida USA-NL-2014",1
"15244","Geosmithia eupagioceri",1
"15245","Geosmithia fassatiae",5
"15246","Geosmithia flava",6
"15247","Geosmithia funiculosa",3
"15248","Geosmithia langdonii",8
"15249","Geosmithia lavendula",7
"15250","Geosmithia longistipitata",1
"15251","Geosmithia microcorthyli",4
"15252","Geosmithia morbida",17
"15253","Geosmithia obscura",9
"15254","Geosmithia omnicola",4
"15255","Geosmithia pallida",24
"15256","Geosmithia proliferans",3
"15257","Geosmithia putterillii",6
"15258","Geosmithia rufescens",2
"15259","Geosmithia sp",4
"15260","Geosmithia sp. 1 MK-2014",1
"15261","Geosmithia sp. 10 MK-2014",1
"15262","Geosmithia sp. 10 NL-2014",1
"15263","Geosmithia sp. 10 PPB-2104",1
"15264","Geosmithia sp. 11 MK-2014",1
"15265","Geosmithia sp. 11 NL-2014",1
"15266","Geosmithia sp. 11 YTH-2019",1
"15267","Geosmithia sp. 12 MK-2014",1
"15268","Geosmithia sp. 12 NL-2014",1
"15269","Geosmithia sp. 12 YTH-2019",2
"15270","Geosmithia sp. 13 MK-2014",1
"15271","Geosmithia sp. 13 PPB-2104",1
"15272","Geosmithia sp. 16 NL-2014",1
"15273","Geosmithia sp. 16 RJ-2014",1
"15274","Geosmithia sp. 19 YTH-2019",1
"15275","Geosmithia sp. 2 AP-2015",1
"15276","Geosmithia sp. 2 PPB-2104",1
"15277","Geosmithia sp. 20 AP-2015",1
"15278","Geosmithia sp. 20 NL-2014",2
"15279","Geosmithia sp. 20 PPB-2104",1
"15280","Geosmithia sp. 20 YTH-2019",1
"15281","Geosmithia sp. 21 MK-2014",1
"15282","Geosmithia sp. 21 NL-2014",1
"15283","Geosmithia sp. 22 MK-2014",1
"15284","Geosmithia sp. 22 NL-2014",1
"15285","Geosmithia sp. 22 YTH-2019",2
"15286","Geosmithia sp. 24 NL-2014",1
"15287","Geosmithia sp. 24 SF-2015",1
"15288","Geosmithia sp. 24 YTH-2019",1
"15289","Geosmithia sp. 25 MK-2014",1
"15290","Geosmithia sp. 26 MK-2014",1
"15291","Geosmithia sp. 26 NL-2014",3
"15292","Geosmithia sp. 28 YTH-2019",1
"15293","Geosmithia sp. 29 MK-2014",3
"15294","Geosmithia sp. 29 NL-2014",2
"15295","Geosmithia sp. 30 NL-2014",2
"15296","Geosmithia sp. 31 MK-2014",1
"15297","Geosmithia sp. 31 NL-2014",2
"15298","Geosmithia sp. 34 MK-2013",1
"15299","Geosmithia sp. 35 NL-2014",1
"15300","Geosmithia sp. 36 YTH-2019",1
"15301","Geosmithia sp. 38 YTH-2019",1
"15302","Geosmithia sp. 40 YTH-2019",1
"15303","Geosmithia sp. 5 PPB-2014",1
"15304","Geosmithia sp. 8 MK-2014",3
"15305","Geosmithia sp. 8 NL-2014",1
"15306","Geosmithia sp. 8 YTH-2019",1
"15307","Geosmithia sp. 9 MK-2014",1
"15308","Geosmithia sp. 9 NL-2014",2
"15309","Geosmithia sp. 9 RJ-2014",1
"15310","Geosmithia sp. 9 YTH-2019",1
"15311","Geosmithia sp. CCF3358",1
"15312","Geosmithia sp. CCF3558",2
"15313","Geosmithia sp. IVV7",1
"15314","Geosmithia sp. JB-2018a",1
"15315","Geosmithia sp. MK-2013b",1
"15316","Geosmithia sp. MK1708",2
"15317","Geosmithia sp. MK1712a",1
"15318","Geosmithia sp. MK1712b",2
"15319","Geosmithia sp. MK1801",3
"15320","Geosmithia sp. MK1811b",2
"15321","Geosmithia sp. MK1824",1
"15322","Geosmithia sp. MK1825",3
"15323","Geosmithia sp. MK1826",2
"15324","Geosmithia sp. MK1827b",3
"15325","Geosmithia sp. MK1829b",3
"15326","Geosmithia sp. MK1832",3
"15327","Geosmithia sp. MK1833",2
"15328","Geosmithia sp. MK1834",3
"15329","Geosmithia sp. MK1835",3
"15330","Geosmithia sp. MK1836",3
"15331","Geosmithia sp. MK1843",3
"15332","Geosmithia sp. RJ0363",3
"15333","Geosmithia sp. RJ08m",3
"15334","Geosmithia sp. RJ091",1
"15335","Geosmithia sp. RJ09m",2
"15336","Geosmithia sp. RJ152m",3
"15337","Geosmithia sp. RJ153m",2
"15338","Geosmithia sp. RJ156m",2
"15339","Geosmithia sp. RJ15ak",3
"15340","Geosmithia sp. RJ172m",2
"15341","Geosmithia sp. RJ22k",3
"15342","Geosmithia sp. RJ27m",3
"15343","Geosmithia sp. RJ30m",2
"15344","Geosmithia sp. RJ34m",3
"15345","Geosmithia sp. RJ41m",2
"15346","Geosmithia sp. RJ42m",3
"15347","Geosmithia sp. RJ49k",3
"15348","Geosmithia sp. RJ73K",3
"15349","Geosmithia sp. RJ74k",3
"15350","Geosmithia sp. U119A",2
"15351","Geosmithia sp. U154",1
"15352","Geosmithia sp. U196",1
"15353","Geosmithia sp. U197",1
"15354","Geosmithia sp. U323",1
"15355","Geosmithia sp. U410 NL-2014",1
"15356","Geosmithia sp. U418",1
"15357","Geosmithia ulmacea",2
"15358","Geosmithia xerotolerans",2
"15359","Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)",6601
"15360","Geotrichum europaeum",3
"15361","Geotrichum phurueaensis",1
"15362","Geotrichum sp",1
"15363","Geotrichum sp. (strain M128)",2
"15364","Geotrichum sp. DTQ-26.3",1
"15365","Geranomyces hawaiiensis",1
"15366","Geranomyces michiganensis",1
"15367","Geranomyces variabilis",26
"15368","Gerhardtia sp. HC01/025",3
"15369","Gerwasia rubi",1
"15370","Gibberella baccata (Fusarium lateritium)",44
"15371","Gibberella fujikuroi (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)",10010
"15372","Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)",14341
"15373","Gibberella intermedia (Bulb rot disease fungus) (Fusarium proliferatum)",27067
"15374","Gibberella moniliformis (Maize ear and stalk rot fungus) (Fusarium verticillioides)",22179
"15375","Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)",17349
"15376","Gibberella nygamai (Bean root rot disease fungus) (Fusarium nygamai)",15747
"15377","Gibberella pulicaris",128
"15378","Gibberella sacchari (Fusarium sacchari)",214
"15379","Gibberella subglutinans (Fusarium subglutinans)",180
"15380","Gibberella thapsina (Grain mold fungus) (Fusarium thapsinum)",170
"15381","Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)",15911
"15382","Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)",5456
"15383","Gibbosporina amphorella",1
"15384","Gibbosporina elixii",1
"15385","Gibbosporina sphaerospora",1
"15386","Gibellina cerealis",1
"15387","Gibellula cebrennini",5
"15388","Gibellula fusiformispora",3
"15389","Gibellula gamsii",22
"15390","Gibellula leiopus",2
"15391","Gibellula pigmentosinum",4
"15392","Gibellula scorpioides",7
"15393","Gibellula sp",38
"15394","Gibellula sp. BCC14132",1
"15395","Gibellula sp. NHJ 10788",1
"15396","Gibellula sp. NHJ 12014",1
"15397","Gibellula sp. NHJ 13158",1
"15398","Gibellula sp. WK-2013",6
"15399","Gibellulopsis fusca",1
"15400","Gibellulopsis nigrescens",40
"15401","Gibellulopsis serrae",1
"15402","Gigaspora albida",13
"15403","Gigaspora candida",4
"15404","Gigaspora decipiens",3
"15405","Gigaspora gigantea",11
"15406","Gigaspora margarita",56
"15407","Gigaspora rosea",30703
"15408","Gigaspora sp. MAFF520063",1
"15409","Gilbertella persicaria",15
"15410","Gilbertella persicaria var. indica",1
"15411","Gilkeya compacta",5
"15412","Gjaerumia minor",4
"15413","Gjaerumia penniseti",4
"15414","Gjaerumia sp",5
"15415","Glaciozyma antarctica",58
"15416","Glaciozyma antarctica PI12",3
"15417","Glarea lozoyensis",26
"15418","Glarea lozoyensis (strain ATCC 20868 / MF5171)",12641
"15419","Glarea lozoyensis (strain ATCC 74030 / MF5533)",7756
"15420","Glaucotrema glaucophaenum",2
"15421","Glaziella aurantiaca",4
"15422","Gliocephalotrichum bacillisporum",9
"15423","Gliocephalotrichum bulbilium",21
"15424","Gliocephalotrichum cylindrosporum",9
"15425","Gliocephalotrichum grande",2
"15426","Gliocephalotrichum humicola",3
"15427","Gliocephalotrichum longibrachium",7
"15428","Gliocephalotrichum mexicanum",3
"15429","Gliocephalotrichum microchlamydosporum",4
"15430","Gliocephalotrichum nephelii",3
"15431","Gliocephalotrichum ohiense",2
"15432","Gliocephalotrichum queenslandicum",3
"15433","Gliocephalotrichum simmonsii",4
"15434","Gliocephalotrichum simplex",6
"15435","Gliocephalotrichum sp. CBS 109446",3
"15436","Gliocephalotrichum sp. CBS 135954",3
"15437","Gliocephalotrichum sp. CBS 254.82",3
"15438","Gliocladiopsis aquaticus",4
"15439","Gliocladiopsis curvata",3
"15440","Gliocladiopsis ecuadoriensis",3
"15441","Gliocladiopsis elghollii",4
"15442","Gliocladiopsis forsbergii",4
"15443","Gliocladiopsis guangdongensis",3
"15444","Gliocladiopsis hennebertii",2
"15445","Gliocladiopsis indonesiensis",3
"15446","Gliocladiopsis irregularis",10
"15447","Gliocladiopsis mexicana",3
"15448","Gliocladiopsis peggii",18
"15449","Gliocladiopsis pseudotenuis",8
"15450","Gliocladiopsis sagariensis",8
"15451","Gliocladiopsis singaporiensis",2
"15452","Gliocladiopsis sp. 1 LL-2012",3
"15453","Gliocladiopsis sp. 2 LL-2012",3
"15454","Gliocladiopsis sumatrensis",4
"15455","Gliocladiopsis swieteniae",2
"15456","Gliocladiopsis tenuis",10
"15457","Gliocladiopsis whileyi",2
"15458","Gliocladiopsis wuhanensis",2
"15459","Gliocladium sp",2
"15460","Gliocladium sp. G3-1",1
"15461","Gliocladium viride",1
"15462","Gliomastix murorum",3
"15463","Gliomastix murorum var. felina",1
"15464","Globobotrys sansevieriicola",2
"15465","Gloeandromyces dickii",2
"15466","Gloeandromyces hilleri",2
"15467","Gloeandromyces nycteribiidarum",2
"15468","Gloeandromyces streblae",2
"15469","Gloeandromyces streblae f. sigmomorphus",1
"15470","Gloeocantharellus aculeatus",2
"15471","Gloeocantharellus corneri",1
"15472","Gloeocantharellus echinosporus",2
"15473","Gloeocantharellus novae-zelandiae",1
"15474","Gloeocantharellus pallidus",1
"15475","Gloeocantharellus purpurascens",4
"15476","Gloeocantharellus sp. OSC122875",1
"15477","Gloeophyllum mexicanum",2
"15478","Gloeophyllum sepiarium",6
"15479","Gloeophyllum striatum",3
"15480","Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus)",26
"15481","Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)",11461
"15482","Gloeoporus africanus",1
"15483","Gloeoporus cystidiatus",1
"15484","Gloeoporus dichrous",5
"15485","Gloeoporus guerreroanus",1
"15486","Gloeoporus orientalis",2
"15487","Gloeoporus pannocinctus",3
"15488","Gloeoporus taxicola",9
"15489","Gloeopycnis protuberans",2
"15490","Gloeosoma mirabile",1
"15491","Gloeotinia sp. LJC-2011",1
"15492","Glomerella acutata (Colletotrichum acutatum)",279
"15493","Glomerella lagenarium (Anthracnose fungus) (Colletotrichum lagenarium)",18
"15494","Glomerobolus gelineus",1
"15495","Glomerulophoron mauritiae",1
"15496","Glomus atlanticum",1
"15497","Glomus bareae",1
"15498","Glomus cerebriforme",19805
"15499","Glomus cubense",1
"15500","Glomus macrocarpum",4
"15501","Glomus multiforum",4
"15502","Glomus pustulatum",1
"15503","Glomus sp. BEG19",1
"15504","Glomus sp. BRRA-2009a",1
"15505","Glomus sp. DAOM 211637",1
"15506","Glomus sp. DAOM 212150",4
"15507","Glomus sp. DAOM 229456",45
"15508","Glomus sp. DAOM 240160",1
"15509","Glomus sp. DAOM 240410",1
"15510","Glomus sp. DAOM 240422",40
"15511","Glomus sp. MES-190",1
"15512","Glomus tetrastratosum",3
"15513","Gloniopsis calami",1
"15514","Gloniopsis fluctiformis",2
"15515","Gloniopsis leucaenae",2
"15516","Gloniopsis praelonga",1
"15517","Gloniopsis sp. MFLUCC 14-0581",1
"15518","Gloniopsis subrugosa",4
"15519","Glonium circumserpens",2
"15520","Glonium stellatum",2
"15521","Glugea anomala",1
"15522","Glugea plecoglossi",11
"15523","Glutinoglossum americanum",1
"15524","Glutinoglossum australasicum",2
"15525","Glutinoglossum circinatum",1
"15526","Glutinoglossum exiguum",1
"15527","Glutinoglossum glutinosum",4
"15528","Glutinoglossum heptaseptatum",2
"15529","Glutinoglossum lumbricale",1
"15530","Glutinoglossum methvenii",2
"15531","Glutinoglossum orientale",2
"15532","Glutinoglossum peregrinans",1
"15533","Glyphis cicatricosa",2
"15534","Glyphis scyphulifera",1
"15535","Glyphis substriatula",1
"15536","Glyphium elatum",7
"15537","Glyphopeltis ligustica",2
"15538","Gnomonia aff. ischnostyla CBS 121228",2
"15539","Gnomonia aff. setacea CBS 121256",1
"15540","Gnomonia amoena",1
"15541","Gnomonia borealis",3
"15542","Gnomonia cerastis",1
"15543","Gnomonia cf. alni-viridis CBS 121250",1
"15544","Gnomonia cf. ischnostyla BPI 877625",2
"15545","Gnomonia cf. ischnostyla CBS 121252",1
"15546","Gnomonia cf. ischnostyla CBS 121908",2
"15547","Gnomonia dispora",1
"15548","Gnomonia errabunda",2
"15549","Gnomonia fasciculata",1
"15550","Gnomonia gnomon",5
"15551","Gnomonia mirabilis",1
"15552","Gnomonia neognomon",2
"15553","Gnomonia orcispora",2
"15554","Gnomonia ostryae",1
"15555","Gnomonia padicola",1
"15556","Gnomonia pendulorum",1
"15557","Gnomonia pseudoamoena",1
"15558","Gnomonia ribicola",1
"15559","Gnomonia rodmanii",2
"15560","Gnomonia skokomishica",3
"15561","Gnomonia tetraspora",2
"15562","Gnomonia virginianae",3
"15563","Gnomoniaceae sp",3
"15564","Gnomoniopsis alderdunensis",2
"15565","Gnomoniopsis angolensis",1
"15566","Gnomoniopsis castaneae",11
"15567","Gnomoniopsis chamaemori",3
"15568","Gnomoniopsis clavulata",7
"15569","Gnomoniopsis comari",4
"15570","Gnomoniopsis daii",1
"15571","Gnomoniopsis fructicola",5
"15572","Gnomoniopsis idaeicola",20
"15573","Gnomoniopsis macounii",4
"15574","Gnomoniopsis occulta",2
"15575","Gnomoniopsis paraclavulata",5
"15576","Gnomoniopsis racemula",1
"15577","Gnomoniopsis rosae",1
"15578","Gnomoniopsis sanguisorbae",2
"15579","Gnomoniopsis smithogilvyi",24
"15580","Gnomoniopsis sp",3
"15581","Gnomoniopsis sp. CBS 115312",1
"15582","Gnomoniopsis sp. CBS 121464",2
"15583","Gnomoniopsis sp. CBS 121474",2
"15584","Gnomoniopsis sp. CBS 121478",1
"15585","Gnomoniopsis sp. CBS 121918",2
"15586","Gnomoniopsis sp. CBS 328.75",1
"15587","Gnomoniopsis sp. DF 5019",1
"15588","Gnomoniopsis sp. DP 0023",2
"15589","Gnomoniopsis sp. DP 0353",1
"15590","Gnomoniopsis sp. GiM68A",1
"15591","Gnomoniopsis tormentillae",4
"15592","Godronia fuliginosa",1
"15593","Goffeauzyma aciditolerans",1
"15594","Goffeauzyma agrionensis",4
"15595","Goffeauzyma gastrica",3
"15596","Goffeauzyma gilvescens",3
"15597","Goffeauzyma iberica",2
"15598","Goffeauzyma metallitolerans",2
"15599","Goidanichiella sphaerospora",1
"15600","Golovinomyces adenophorae",1
"15601","Golovinomyces ambrosiae",5
"15602","Golovinomyces bolayi",1
"15603","Golovinomyces cichoracearum",18834
"15604","Golovinomyces circumfusus",2
"15605","Golovinomyces latisporus",2
"15606","Golovinomyces magnicellulatus",6
"15607","Golovinomyces montagnei",1
"15608","Golovinomyces orontii",87
"15609","Golubevia pallescens",4
"15610","Golubevia sp",2
"15611","Gomphidius roseus",35
"15612","Gomphillus americanus",13
"15613","Gomphillus calycioides",1
"15614","Gomphus albidocarneus",1
"15615","Gomphus calakmulensis",1
"15616","Gomphus clavatus",4
"15617","Gomphus pleurobrunnescens",1
"15618","Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera)",13347
"15619","Gonapodya sp. FSU2639",2
"15620","Gonapodya sp. JEL183",2
"15621","Gongromeriza myriocarpa",4
"15622","Gongromeriza pygmaea",1
"15623","Gongromerizella pini",1
"15624","Gongronella butleri",8
"15625","Gongronella koreana",4
"15626","Gongronella orasabula",4
"15627","Gongronella sichuanensis",4
"15628","Gongronella sp",5
"15629","Gongronella sp. JG-2005",1
"15630","Gongronella sp. w5",6
"15631","Gowardia arctica",4
"15632","Gowardia nigricans",14
"15633","Graddonia coracina",3
"15634","Graminella microspora",1
"15635","Graminopassalora geissorhizae",1
"15636","Graminopassalora graminis",2
"15637","Grammothele sp",6
"15638","Grammothelopsis subtropica",1
"15639","Grandibotrys pseudotheobromae",4
"15640","Grandibotrys xylophila",3
"15641","Graphilbum acuminatum",9
"15642","Graphilbum anningense",1
"15643","Graphilbum carpaticum",6
"15644","Graphilbum crescericum",8
"15645","Graphilbum curvicolle",1
"15646","Graphilbum curvidentis",3
"15647","Graphilbum fragrans",13
"15648","Graphilbum furuicola",4
"15649","Graphilbum gorcense",2
"15650","Graphilbum interstitiale",7
"15651","Graphilbum kesiyae",4
"15652","Graphilbum microcarpum",2
"15653","Graphilbum nigrum",1
"15654","Graphilbum puerense",2
"15655","Graphilbum sexdentatum",4
"15656","Graphilbum sp",2
"15657","Graphilbum sparsum",6
"15658","Graphiopsis chlorocephala",1
"15659","Graphis aff. epimelaena Sohrabi 16579 (F)",2
"15660","Graphis betulina",14
"15661","Graphis implicata",1
"15662","Graphis librata",1
"15663","Graphis lineola",12
"15664","Graphis macrocarpa",10
"15665","Graphis pulverulenta",24
"15666","Graphis scripta",83
"15667","Graphium adansoniae",4
"15668","Graphium basitruncatum",1
"15669","Graphium carbonarium",3
"15670","Graphium fabiforme",3
"15671","Graphium fimbriasporum",8
"15672","Graphium kuroshium",4
"15673","Graphium laricis",6
"15674","Graphium madagascariense",1
"15675","Graphium penicillioides",7
"15676","Graphium pseudormiticum",4
"15677","Graphium sp. UCR2132",1
"15678","Graphium sp. UCR2137",1
"15679","Graphium sp. UCR2140",1
"15680","Graphium sp. UCR2159",1
"15681","Graphium sp. UCR2160",1
"15682","Graphium sp. UCR2161",1
"15683","Graphium sp. UCR2162",1
"15684","Graphium sp. UCR2163",1
"15685","Graphium sp. UCR2164",1
"15686","Graphium sp. UCR2165",1
"15687","Graphium sp. UCR2166",1
"15688","Graphostroma platystomum",3
"15689","Greeneria kielmeyerae",1
"15690","Gregarithecium curvisporum",1
"15691","Gregatothecium humicola",11
"15692","Gregorella humida",2
"15693","Gremmenia infestans",1
"15694","Gremmeniella abietina",17
"15695","Gremmeniella laricina",5
"15696","Gremmeniella pinicola",1
"15697","Grifola frondosa (Maitake) (Polyporus frondosus)",14764
"15698","Grifola sordulenta",5
"15699","Grifola umbellata",1
"15700","Grigorovia transvaalensis",7
"15701","Grigorovia yakushimaensis",1
"15702","Griseoporia carbonaria",2
"15703","Groenewaldozyma auringiensis",1
"15704","Groenewaldozyma salmanticensis",19
"15705","Groenewaldozyma tartarivorans",1
"15706","Grosmannia abieticola",4
"15707","Grosmannia abietina",11
"15708","Grosmannia abiocarpa",6
"15709","Grosmannia aenigmatica",3
"15710","Grosmannia americana",4
"15711","Grosmannia aurea",46
"15712","Grosmannia bistata",5
"15713","Grosmannia cainii",5
"15714","Grosmannia chlamydata",9
"15715","Grosmannia clavigera",84
"15716","Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera)",7873
"15717","Grosmannia crassifolia",3
"15718","Grosmannia crassivaginata",3
"15719","Grosmannia curvispora",7
"15720","Grosmannia eucalyptophila",3
"15721","Grosmannia europhioides",4
"15722","Grosmannia fruticeta",7
"15723","Grosmannia galeiformis",8
"15724","Grosmannia grandifoliae",3
"15725","Grosmannia hughesii",3
"15726","Grosmannia huntii",26
"15727","Grosmannia koreana",7
"15728","Grosmannia laricis",2
"15729","Grosmannia leptographioides",1
"15730","Grosmannia maixiuense",3
"15731","Grosmannia penicillata",15
"15732","Grosmannia pseudoeurophioides",1
"15733","Grosmannia purpurea",6
"15734","Grosmannia radiaticola",19
"15735","Grosmannia robusta",13
"15736","Grosmannia serpens",17
"15737","Grosmannia sp. 1 RJ-2014",12
"15738","Grosmannia sp. 1 SJT-2013",2
"15739","Grosmannia sp. 2 SJT-2013",2
"15740","Grosmannia sp. 3 SJT-2013",2
"15741","Grosmannia sp. 4 SJT-2013",2
"15742","Grosmannia sp. 5 SJT-2013",2
"15743","Grosmannia sp. 6 SJT-2013",2
"15744","Grosmannia sp. 7 SJT-2013",2
"15745","Grosmannia sp. CMW 25861",2
"15746","Grosmannia sp. CMW22798",1
"15747","Grosmannia sp. PRO-2010a",2
"15748","Grosmannia sp. SMA-2010",23
"15749","Grosmannia sp. TCL-2009a",1
"15750","Grosmannia tibetensis",3
"15751","Grosmannia xeno-abietina",3
"15752","Grosmannia xianmiensis",9
"15753","Grosmannia yunnanensis",22
"15754","Grosmannia zekuensis",5
"15755","Grovesiella abieticola",2
"15756","Gryganskiella cystojenkinii",2
"15757","Gryganskiella fimbricystis",5
"15758","Guarromyces ceretanicus",1
"15759","Guayaquilia cubensis",1
"15760","Guepinia helvelloides",1
"15761","Guepiniopsis buccina",4
"15762","Guignardia aesculi",2
"15763","Guignardia alliacea",2
"15764","Guignardia ardisiae",2
"15765","Guignardia gaultheriae",3
"15766","Guignardia musicola",2
"15767","Guignardia psidii",2
"15768","Guignardia rhodorae",2
"15769","Guignardia sansevieriae",1
"15770","Guignardia sawadae",2
"15771","Guignardia sp. F8",2
"15772","Guignardia sp. MUCC0051",2
"15773","Guignardia sp. MUCC0116",2
"15774","Guignardia sp. MUCC0522",2
"15775","Guignardia sp. MUCC0524",2
"15776","Guignardia sp. SEGA49",1
