"","protid","Organism","Taxonomic.lineage","Kingdom","Phylum","Order"
"112","M7TZ61","Botryotinia fuckeliana (strain BcDW1) (Noble rot fungus) (Botrytis cinerea)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Botrytis (genus), Botryotinia fuckeliana (species)","Fungi","Ascomycota","Helotiales"
"113","A0A4Z1J246","Botryotinia narcissicola","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Botryotinia (genus)","Fungi","Ascomycota","Helotiales"
"114","A0A4Z1L5D6","Botrytis porri","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Botrytis (genus)","Fungi","Ascomycota","Helotiales"
"115","A0A6A5THG5","Byssothecium circinans","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Massarinaceae (family), Byssothecium (genus)","Fungi","Ascomycota","Pleosporales"
"116","A0A165E9K9","Calocera cornea HHB12733","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Dacrymycetes (class), Dacrymycetales (order), Dacrymycetaceae (family), Calocera (genus), Calocera cornea (species)","Fungi","Basidiomycota","Dacrymycetales"
"117","A0A167JEN6","Calocera viscosa (strain TUFC12733)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Dacrymycetes (class), Dacrymycetales (order), Dacrymycetaceae (family), Calocera (genus), Calocera viscosa (species)","Fungi","Basidiomycota","Dacrymycetales"
"118","A0A6A5S7K0","Clathrospora elynae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Diademaceae (family), Clathrospora (genus)","Fungi","Ascomycota","Pleosporales"
"119","A0A1Y1ZN99","Clohesyomyces aquaticus","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Lindgomycetaceae (family), Clohesyomyces (genus)","Fungi","Ascomycota","Pleosporales"
"120","A0A3D8QGF8","Coleophoma cylindrospora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Dermateaceae (family), Coleophoma (genus)","Fungi","Ascomycota","Helotiales"
"121","A0A2T2P3S3","Corynespora cassiicola Philippines","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Corynesporascaceae (family), Corynespora (genus), Corynespora cassiicola (species)","Fungi","Ascomycota","Pleosporales"
"122","A0A6A5KPV0","Decorospora gaudefroyi","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Decorospora (genus)","Fungi","Ascomycota","Pleosporales"
"123","A0A2J6QLW4","Hyaloscypha hepaticicola","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Hyaloscyphaceae (family), Hyaloscypha (genus), Hyaloscypha hepaticicola/Rhizoscyphus ericae species complex (no rank)","Fungi","Ascomycota","Helotiales"
"124","A0A2J6RZV3","Hyaloscypha variabilis F","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Hyaloscyphaceae (family), Hyaloscypha (genus), Hyaloscypha hepaticicola/Rhizoscyphus ericae species complex (no rank), Hyaloscypha variabilis (species)","Fungi","Ascomycota","Helotiales"
"125","A0A6G1IYF2","Lentithecium fluviatile CBS 122367","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Lentitheciaceae (family), Lentithecium (genus), Lentithecium fluviatile (species)","Fungi","Ascomycota","Pleosporales"
"126","A0A6A6SZA3","Lophiostoma macrostomum CBS 122681","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Lophiostomataceae (family), Lophiostoma (genus), Lophiostoma macrostomum (species)","Fungi","Ascomycota","Pleosporales"
"127","A0A6A5ZLN1","Lophiotrema nucula","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Lophiotremataceae (family), Lophiotrema (genus)","Fungi","Ascomycota","Pleosporales"
"128","A0A6A6RFG2","Massarina eburnea CBS 473.64","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Massarinaceae (family), Massarina (genus), Massarina eburnea (species)","Fungi","Ascomycota","Pleosporales"
"129","A0A7C8I9B2","Massariosphaeria phaeospora","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporales incertae sedis (no rank), Massariosphaeria (genus)","Fungi","Ascomycota","Pleosporales"
"130","A0A6A6WRT6","Melanomma pulvis-pyrius CBS 109.77","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Melanommataceae (family), Melanomma (genus), Melanomma pulvis-pyrius (species)","Fungi","Ascomycota","Pleosporales"
"131","G7E6C4","Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Mixiomycetes (class), Mixiales (order), Mixiaceae (family), Mixia (genus), Mixia osmundae (species)","Fungi","Basidiomycota","Mixiales"
"132","A0A5M9K6H3","Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Monilinia (genus)","Fungi","Ascomycota","Helotiales"
"133","A0A0C3DX11","Oidiodendron maius Zn","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Myxotrichaceae (family), Oidiodendron (genus), Oidiodendron maius (species)","Fungi","Ascomycota","no_order_rank"
"134","A0A6A7AHS8","Ophiobolus disseminans","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Phaeosphaeriaceae (family), Ophiobolus (genus)","Fungi","Ascomycota","Pleosporales"
"135","A0A2V1DVQ4","Periconia macrospinosa","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Periconiaceae (family), Periconia (genus)","Fungi","Ascomycota","Pleosporales"
"136","A0A6A7AT15","Plenodomus tracheiphilus IPT5","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Leptosphaeriaceae (family), Plenodomus (genus), Plenodomus tracheiphilus (species)","Fungi","Ascomycota","Pleosporales"
"137","A0A6G1K526","Pleomassaria siparia CBS 279.74","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleomassariaceae (family), Pleomassaria (genus), Pleomassaria siparia (species)","Fungi","Ascomycota","Pleosporales"
"138","A0A139GWE8","Pseudocercospora eumusae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Pseudocercospora (genus)","Fungi","Ascomycota","Mycosphaerellales"
"139","A0A178DPJ7","Pyrenochaeta sp. DS3sAY3a","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Cucurbitariaceae (family), Pyrenochaeta (genus), unclassified Pyrenochaeta (no rank)","Fungi","Ascomycota","Pleosporales"
"140","A0A2S7NZT6","Rutstroemia sp. NJR-2017a BBW","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Rutstroemiaceae (family), Rutstroemia (genus), unclassified Rutstroemia (no rank)","Fungi","Ascomycota","Helotiales"
"141","A0A5J5EXT0","Sphaerosporella brunnea","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Pyronemataceae (family), Sphaerosporella (genus)","Fungi","Ascomycota","Pezizales"
"142","A0A6A6VDX3","Sporormia fimetaria CBS 119925","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Sporormiaceae (family), Sporormia (genus), Sporormia fimetaria (species)","Fungi","Ascomycota","Pleosporales"
"143","A0A6A6D9G8","Zopfia rhizophila CBS 207.26","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Zopfiaceae (family), Zopfia (genus), Zopfia rhizophila (species)","Fungi","Ascomycota","no_order_rank"
"144","A0A4S2MNW7","Ascodesmis nigricans","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Ascodesmidaceae (family), Ascodesmis (genus)","Fungi","Ascomycota","Pezizales"
"145","A0A6G1H318","Aulographum hederae CBS 113979","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Aulographales (order), Aulographaceae (family), Aulographum (genus), Aulographum hederae (species)","Fungi","Ascomycota","Aulographales"
"146","A0A4S9KR45","Aureobasidium pullulans (Black yeast) (Pullularia pullulans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Dothideales (order), Saccotheciaceae (family), Aureobasidium (genus)","Fungi","Ascomycota","Dothideales"
"147","A0A4V4K154","Aureobasidium pullulans (Black yeast) (Pullularia pullulans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Dothideales (order), Saccotheciaceae (family), Aureobasidium (genus)","Fungi","Ascomycota","Dothideales"
"148","A0A2S6CNC9","Cercospora berteroae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Cercospora (genus)","Fungi","Ascomycota","Mycosphaerellales"
"149","A0A6A6FEF0","Cercospora zeae-maydis SCOH1-5","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Cercospora (genus), Cercospora zeae-maydis (species)","Fungi","Ascomycota","Mycosphaerellales"
"150","A0A4V6WKR8","Cryomyces minteri","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Cryomyces (genus)","Fungi","Ascomycota","no_order_rank"
"151","A0A1E3JA65","Cryptococcus depauperatus CBS 7855","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus depauperatus (species)","Fungi","Basidiomycota","Tremellales"
"152","A0A0G2E6L7","Diplodia seriata","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Botryosphaeriales (order), Botryosphaeriaceae (family), Diplodia (genus)","Fungi","Ascomycota","Botryosphaeriales"
"153","N1PSM0","Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Dothistroma (genus), Dothistroma septosporum (species)","Fungi","Ascomycota","Mycosphaerellales"
"154","A0A6A6GE92","Elsinoe ampelina","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","Fungi","Ascomycota","Myriangiales"
"155","A0A2P8ADX3","Elsinoe australis","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","Fungi","Ascomycota","Myriangiales"
"156","A0A4U7ARN0","Elsinoe australis","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","Fungi","Ascomycota","Myriangiales"
"157","Q9Y772","Emericella nidulans (Aspergillus nidulans)","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Nidulantes (subgenus)","Fungi","Ascomycota","Eurotiales"
"158","A0A6A6P4E1","Lineolata rhizophorae","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Lineolatales (order), Lineolataceae (family), Lineolata (genus)","Fungi","Ascomycota","Lineolatales"
"159","A0A1L7X3I6","Phialocephala subalpina","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Mollisiaceae (family), Phialocephala (genus), Phialocephala fortinii species complex (no rank)","Fungi","Ascomycota","Helotiales"
"160","A0A6A7BQA8","Piedraia hortae CBS 480.64","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Capnodiales (order), Piedraiaceae (family), Piedraia (genus), Piedraia hortae (species)","Fungi","Ascomycota","Capnodiales"
"161","A0A1B8FV74","Pseudogymnoascus sp. 03VT05","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","Fungi","Ascomycota","no_order_rank"
"162","A0A1B8FBD9","Pseudogymnoascus sp. 05NY08","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","Fungi","Ascomycota","no_order_rank"
"163","A0A1B8CUA7","Pseudogymnoascus sp. 24MN13","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","Fungi","Ascomycota","no_order_rank"
"164","A0A093YTE4","Pseudogymnoascus sp. VKM F-3808","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","Fungi","Ascomycota","no_order_rank"
"165","A0A094BDZ5","Pseudogymnoascus sp. VKM F-4246","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","Fungi","Ascomycota","no_order_rank"
"166","A0A5C3R188","Pterula gracilis","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Pleurotineae (suborder), Pterulaceae (family), Pterula (genus)","Fungi","Basidiomycota","Agaricales"
"167","A0A1V8SZ72","Rachicladosporium antarcticum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Cladosporiales (order), Cladosporiaceae (family), Rachicladosporium (genus)","Fungi","Ascomycota","Cladosporiales"
"168","A0A1V8T499","Rachicladosporium antarcticum","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Cladosporiales (order), Cladosporiaceae (family), Rachicladosporium (genus)","Fungi","Ascomycota","Cladosporiales"
"169","A0A1V8U896","Rachicladosporium sp. CCFEE 5018","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Cladosporiales (order), Cladosporiaceae (family), Rachicladosporium (genus), unclassified Rachicladosporium (no rank)","Fungi","Ascomycota","Cladosporiales"
"170","A0A1V8UNY6","Rachicladosporium sp. CCFEE 5018","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Cladosporiales (order), Cladosporiaceae (family), Rachicladosporium (genus), unclassified Rachicladosporium (no rank)","Fungi","Ascomycota","Cladosporiales"
"171","A0A5C5FT69","Rhodotorula diobovata","cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Sporidiobolales (order), Sporidiobolaceae (family), Rhodotorula (genus)","Fungi","Basidiomycota","Sporidiobolales"
