,tip.label,Phylum,FDA,ascus_dehiscence,auxinResponsivePromoter_count,growth_form_fg,spore_length,spore_width,trophic_mode_fg
146,Trichophyton_rubrum,Ascomycota,No,NA,0,NULL,NA,NA,Pathotroph
147,Trichophyton_verrucosum,Ascomycota,Yes,NA,0,NULL,NA,NA,Pathotroph
148,Tuber_melanosporum,Ascomycota,Yes,NA,0,NA,NA,NA,NA
149,Tulasnella_calospora,Basidiomycota,Yes,NA,0,NULL,NA,NA,Symbiotroph
150,Uncinocarpus_reesii,Ascomycota,Yes,NA,0,NA,NA,NA,NA
152,Ustilago_maydis,NA,Yes,NA,0,Facultative Yeast,NA,NA,Pathotroph
153,Verticillium_alfalfae,NA,No,NA,0,NA,NA,NA,NA
154,Verticillium_dahliae,NA,No,NA,0,NULL,NA,NA,Pathotroph
155,Wallemia_ichthyophaga,NA,No,NA,0,NA,NA,NA,NA
156,Wolfiporia_cocos,NA,Yes,NA,0,NA,NA,NA,NA
157,Xylaria_hypoxylon,NA,No,Poricidal,NA,Xylarioid,NA,NA,Pathotroph-Saprotroph
159,Yarrowia_lipolytica,NA,No,Deliquescent,0,Yeast,NA,NA,Saprotroph
161,Zygosaccharomyces_rouxii,NA,No,NA,0,Facultative Yeast,NA,NA,Saprotroph
